filename,language,language_name,transcript
en_commentary1.wav,en-US,English,[Missing Azure credentials]
en_commentary2.wav,en-US,English,[Missing Azure credentials]
en_commentary3.wav,en-US,English,[Missing Azure credentials]
en_news1.wav,en-US,English,[Missing Azure credentials]
en_news2.wav,en-US,English,[Missing Azure credentials]
hi_commentary1.wav,hi-IN,Hindi,[Missing Azure credentials]
hi_commentary2.wav,hi-IN,Hindi,[Missing Azure credentials]
hi_commentary3.wav,hi-IN,Hindi,[Missing Azure credentials]
hi_news1.wav,hi-IN,Hindi,[Missing Azure credentials]
hi_news2.wav,hi-IN,Hindi,[Missing Azure credentials]
